,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
2289,DavidPimentelAD,Sec. General AD San Sebastián de los Reyes,,56,92,1282,138,"Estamos en el Centro Nacional de Conteo, junto a los compañeros @francolustay y @Gmiguelena. #EleccionesColombia https://t.co/lIKC98IMPc",['EleccionesColombia'],2022-05-31 00:04:42+00:00
2290,OCTAVIOSIERRAH,"Educador 
¡QUIEN NO VIVE PARA SERVIR NO SIRVE PARA VIVIR! . 'ANTIURIBISTA'","Bogotá, D.C., Colombia",2600,1308,31522,11,"Francia Márquez, la artista que se hizo activista a fuerza y va por la Vicepresidencia #EleccionesColombia https://t.co/PFOwTZm2Pc",['EleccionesColombia'],2022-05-31 00:04:39+00:00
2291,FrankPerezG1,Escuchar música de salsa el béisbol y amo a mi familia 🚘👽🇪🇸🇻🇪🇦🇪,"Caracas, Venezuela",814,521,42839,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 00:04:35+00:00
2292,Mcuadroscuadros,,"Bogota
",2034,648,14351,481,"Marbelle confirmó que apoyará a Rodolfo Hernández | #EleccionesColombia #ColombiaVota2022  
 https://t.co/vYuKn1HWFG","['EleccionesColombia', 'ColombiaVota2022']",2022-05-31 00:04:35+00:00
2293,RumordeCorredor,Columnista @larepublica_co | Consultor | Contenido @runnermediagp | @alumni_unav @IsenbergUmass #RumordeCorredor,"Bogotá, DC, Colombia",2915,890,12558,0,"La matemática no es lo de Petro. Acaba de decir que ahora es 1.5M de votos para ganar en segunda vuelta. Ayer, dijo con 1M ganaba. Solo ha mencionado a Uribe 3x @NoticiasCaracol #EleccionesColombia",['EleccionesColombia'],2022-05-31 00:04:19+00:00
2294,mpiedrahita3,"La muerte esta tan segura de su triunfo, que nos da toda una vida de ventaja.","Cali, Colombia",1266,898,34569,1437,"#LaPrimeraVueltaFue al parecer un robo, boletines q informan en lo medios desde la app de la Registraduría presuntamente no contenían la información real, fuente de la entidad denuncia en el vídeo. Rodolfo NO tiene 5' de votos @petrogustavo @GustavoBolivar 
#EleccionesColombia https://t.co/kv11f2b587",['LaPrimeraVueltaFue'],2022-05-31 00:04:12+00:00
2295,voceroprovincia,El Vocero de la Provincia es un semanario que informa sobre el desarrollo del Distrito de Santa Marta y  los municipios del Magdalena. Directora Josefita Orozco,Santa Marta Colombia,1478,3569,11483,0,"Fico  agradeció a sus votantes y los invitó a votar por Rodolfo Hernández https://t.co/tSGGnay2Yo a través de @voceroprovincia 
@FicoGutierrez @EquipoPorCol @Rodrigo_LaraS 
#politica #ColombiaDecide #EleccionesColombia","['politica', 'ColombiaDecide', 'EleccionesColombia']",2022-05-31 00:04:11+00:00
2296,marijoguevara,,caracas,624,376,1399,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 00:04:11+00:00
2297,humanos_los,,,1371,1131,18927,660,"Señor @petrogustavo y señora @FranciaMarquezM. Ponemos a su disposición, todos nuestros conocimientos en materia de comunicación. Creemos en usted, en su campaña está el cambio. No más continuismo. #PetroPresidente2022 #EleccionesColombia",[],2022-05-31 00:04:00+00:00
2298,guise197,Contador publico / Maestría en finanzas / Doctorado en administración / Especialista en comercio exterior/ Parlamentaria Andina de Perú  2021-2026.,,16,87,453,8,"#29Mayo #ColombiaDecide #EleccionesColombia 
El binomio de #PactoHistorico, #GustavoPetro y #FranciaMárquez, avanzó hoy a la segunda vuelta de las #elecciones #presidenciales en #Colombia👇
https://t.co/k1x8Beqd4p https://t.co/UhaNhvwOQN","['29Mayo', 'ColombiaDecide', 'EleccionesColombia', 'PactoHistorico', 'GustavoPetro', 'FranciaMárquez']",2022-05-31 00:03:47+00:00
2299,Dixliana2,Persona Honesta y disciplinada,,158,31,2023,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 00:03:45+00:00
2300,ZoomInter,Traemos las noticias del mundo. Es imprescindible comprender lo que pasa más allá de nuestras fronteras para tomar las mejores decisiones a nivel doméstico.,"Buenos Aires, Argentina",3255,2779,2346,1,"COLOMBIA 🇨🇴. @petrogustavo y @ingrodolfohdez definirán en la segunda vuelta quién será el que lidere una nueva etapa en la política colombiana, tras la marcada derrota de los partidos tradicionales. #ColombiaDecide #Colombia #EleccionesColombia 
https://t.co/aKJFEZmCtM","['ColombiaDecide', 'Colombia', 'EleccionesColombia']",2022-05-31 00:03:37+00:00
2301,Maly01977736,amor,,999,71,725,482,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/oEOiHbBXn8,['EleccionesColombia'],2022-05-31 00:03:33+00:00
2302,Fruticamp1,Tienda de frutas y verduras https://t.co/v8M4J0vYfg,"Ibagué, Colombia",294,69,3843,262,"#EleccionesColombia | ""Si ustedes hubieran ganado, hubieran ganado en primera vuelta"": le dice @MariaFdaCabal al petrismo. #PetroORodolfo #ColombiaVota2022 

Vea más: https://t.co/TBuctnJf8i https://t.co/tDvgordkCt",['EleccionesColombia'],2022-05-31 00:03:31+00:00
2303,jmp170,Hincha del América de Cali,"Cali, Colombia",1429,325,12744,74,"#PetroORodolfo | ""Vamos a seguir trabajando, cero alianzas, cero Uribe, cero Petro; vamos es a trabajar con los colombianos"": @ingrodolfohdez en #SemanaNoticias #EleccionesColombia #ColombiaVota2022 

Vea más: https://t.co/mbnSuQHoV1 https://t.co/s4q8U4wt1c",['PetroORodolfo'],2022-05-31 00:03:28+00:00
2304,Osvaldo33273985,comerciante emprendedor.,,589,445,15807,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 00:03:28+00:00
2305,CarolStephaniaN,Boyacense cultivando in the Emerald isle🏰.  Mi día a día tiene música y colores. 🌼🌺🎶,,705,400,7134,1,"Yo no niego que tengo mis dudas con el ingeniero Rodolfo Hernández.
🗳Es del Centro?
🗳Apoya al uribismo?
🗳Asistirá a reuniones internacionales?
🗳Está bien un presidente cuyo perfil de Twitter dice que es el Rey del TikTok?
🗳Sabe calmarse en 🕰 de crisis?
#EleccionesColombia https://t.co/zE6UhDrtBN",[],2022-05-31 00:03:27+00:00
2306,lunatico48,,"Quindio, Colombia",123,62,5623,3143,"Ayer, en las #EleccionesColombia, casi 6 millones votaron en contra de lo que nos divide, y a favor de lo que nos une: el deseo de que Colombia sea un país sin odios, sin ladrones, sin pobreza. Un país del que nadie se quiera ir. #ColombiaEsRodolfo #RodolfoPresidente",['EleccionesColombia'],2022-05-31 00:03:27+00:00
2307,Sultepecmorena,"Distrito 36 Federal y Distrito 09 Local, con cabecera en Tejupilco, México. Séptima regidora, Ayuntamiento Sultepec, México, 2022-2024.","Sultepec, México, EUM.",2668,2922,123050,4,"#Envivo 🔴 | En punto de las 8 pm @darias_sanchez platicará de lo más relevante de las #EleccionesColombia en el programa #PuntoyContrapunto de @nmas con @mariaanahc.

👉 https://t.co/c7In181BAM","['Envivo', 'EleccionesColombia']",2022-05-31 00:03:15+00:00
2308,mariaanahc,"Internacionalista, mexicana orgullosa y feminista. Conduzco #LasNoticias l-v 6PM @Foro_TV y #PuntoYContrapunto l-v 8PM @nmasmedia @nmas |@ITAM_mx| @PJCOMEXI",,2447,27905,15052,4,"#Envivo 🔴 | En punto de las 8 pm @darias_sanchez platicará de lo más relevante de las #EleccionesColombia en el programa #PuntoyContrapunto de @nmas con @mariaanahc.

👉 https://t.co/c7In181BAM","['Envivo', 'EleccionesColombia']",2022-05-31 00:03:12+00:00
2309,sandraviperez,,Venezuela,198,295,103991,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 00:03:09+00:00
2310,RevistaSemana,Periodismo con carácter.,Colombia,38,4933542,443588,1,#EleccionesColombia | Así vio el planeta la primera vuelta presidencial en Colombia | #ColombiaVota2022 | #PetroORodolfo https://t.co/scAvVbsfMT,"['EleccionesColombia', 'ColombiaVota2022', 'PetroORodolfo']",2022-05-31 00:03:06+00:00
2311,Fernand38934487,"Hijo del Señor Parkin .     
Estoy en la crisis de los 60  . Economista , Ecologista, Ecuánime.","Cali, Calima , Calidoscopica.",604,188,2384,759,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 00:03:01+00:00
2312,rubendahe87,"Defensor de la democracia, siempre por la Derecha. Independiente Santa Fe","Bogotá, D.C., Colombia",1461,1219,10187,74,"#PetroORodolfo | ""Vamos a seguir trabajando, cero alianzas, cero Uribe, cero Petro; vamos es a trabajar con los colombianos"": @ingrodolfohdez en #SemanaNoticias #EleccionesColombia #ColombiaVota2022 

Vea más: https://t.co/mbnSuQHoV1 https://t.co/s4q8U4wt1c",['PetroORodolfo'],2022-05-31 00:03:00+00:00
2313,luzverg31131535,,,51,15,1642,71,"Tocó votar por el cucho... todo sea para evitar que el chavista mandadero de Farc sea presidente. 

#CualquieraMenosPetro 
#PetroNuncaSeráPresidente 
#EleccionesColombia",['CualquieraMenosPetro'],2022-05-31 00:02:48+00:00
2314,necroxisis,Llega un momento en que la tolerancia deja de ser una virtud. #Libre . Amen and Attack,Chile,4096,4016,201175,15,¿En que ciudad le Tocará votar a Byron Castillo en las #EleccionesColombia ?,['EleccionesColombia'],2022-05-31 00:02:41+00:00
2315,markct18,,,36,45,5495,482,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/oEOiHbBXn8,['EleccionesColombia'],2022-05-31 00:02:30+00:00
2316,bolanueve,Un adulto feliz es un niño que sobrevivió a la madurez.,"Bogotá, D.C., Colombia",1882,567,65869,660,"Señor @petrogustavo y señora @FranciaMarquezM. Ponemos a su disposición, todos nuestros conocimientos en materia de comunicación. Creemos en usted, en su campaña está el cambio. No más continuismo. #PetroPresidente2022 #EleccionesColombia",[],2022-05-31 00:02:21+00:00
2317,MalejaV4,Que nada nos defina. Que nada nos sujete. Que sea la libertad nuestra propia sustancia. 👑,"Medellín, Colombia",352,292,5922,0,"@ingrodolfohdez Jummm no le creo nada, los esbirros ya se alinearon a su campaña y atrás suyo está #Matarife, usted mismo reconoce que tiene una deuda con él y por si fuera poco tengo un lema: jamás votar por un ignorante. #EleccionesColombia #RodolfoTambienEsUribe #RodolfoEsUribe https://t.co/8Lpgfi5gr5","['Matarife', 'EleccionesColombia', 'RodolfoTambienEsUribe', 'RodolfoEsUribe']",2022-05-31 00:02:13+00:00
2318,jenny10k,,,342,100,12764,5,"#EleccionesColombia | El candidato Rodolfo Hernández aseguró que llamó a Fico Gutiérrez tras los resultados de las votaciones. Sin embargo, no pudo hablar con él. ¿Qué pasó? | #ColombiaVota2022  https://t.co/GkmZywyrIS https://t.co/UwACg1apPH",['EleccionesColombia'],2022-05-31 00:02:02+00:00
2319,GABOZARRATE,"🇨🇴 UN SEÑOR DE APELLIDO URIBE, SALVÓ A COLOMBIA DEL COMUNISMO 🇨🇴",COLOMBIA ,10179,11806,196973,262,"#EleccionesColombia | ""Si ustedes hubieran ganado, hubieran ganado en primera vuelta"": le dice @MariaFdaCabal al petrismo. #PetroORodolfo #ColombiaVota2022 

Vea más: https://t.co/TBuctnJf8i https://t.co/tDvgordkCt",['EleccionesColombia'],2022-05-31 00:01:57+00:00
2320,Chiquin00286839,,,303,16,1556,10,"#30May #EleccionesColombia 
@OrlvndoA: ""Con respecto a Venezuela: 

Cualquiera de los dos candidatos que quede en las elecciones de Colombia restableceré las relaciones con el régimen de Nicolás Maduro. 

Sin embargo, solo Petro es garantía de una alianza con Maduro.""","['30May', 'EleccionesColombia']",2022-05-31 00:01:55+00:00
2321,JDContreras22,,Cali - Valle del Cauca,233,151,19750,759,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 00:01:55+00:00
2322,victorh20254154,,,35,19,2998,10,"#PetristaSiguePetrista #AhoraVamosEnSegunda #EleccionesColombia 

Seguimos firmes con @petrogustavo y @FranciaMarquezM por la presidencia de Colombia 🇨🇴 para #VivirSabroso

Sígueme y yo te seguiré .... ❤️ https://t.co/ZKxXALSLlI","['PetristaSiguePetrista', 'AhoraVamosEnSegunda', 'EleccionesColombia']",2022-05-31 00:01:55+00:00
2323,Pedroaleman_20,"Cristiano egresado  U.D.O. Contador y Administrador, posgrado en Finanzas y Educacion Superior, ministro activo, adscrito al servicio de Jesus de Nazareth,",Puerto la Cruz_ Anzoategui,103,102,927,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 00:01:51+00:00
2324,Outland122016,RT’s are not necessarily endorsements.,,292,211,62089,3143,"Ayer, en las #EleccionesColombia, casi 6 millones votaron en contra de lo que nos divide, y a favor de lo que nos une: el deseo de que Colombia sea un país sin odios, sin ladrones, sin pobreza. Un país del que nadie se quiera ir. #ColombiaEsRodolfo #RodolfoPresidente",['EleccionesColombia'],2022-05-31 00:01:50+00:00
2325,lili_doradoing,"Orgullosamente Bogotana, amante y defensora de los animales, de la libertad y del país.","Bogotá, D.C., Colombia",1021,2118,56908,40,Excelente titular @bbcmundo #EleccionesColombia 👇 https://t.co/4D5ttlNALv,['EleccionesColombia'],2022-05-31 00:01:39+00:00
2326,boterin1,Coordinador Web - RED+ Noticias andres.botero@redmasnoticias.com Instagram @boterin1,"Bogotá, DC, Colombia",3386,4890,79129,13,"#Elecciones2022🗳️ | ""Si no hay ladrones, la plata sobra; hay que bajar los impuestos"". #EleccionesColombia

El ingeniero Rodolfo Hernández (@ingrodolfohdez) habló con @GiovanniCelisS y @paulitagarciag en #RedMásNoticias. https://t.co/Jm92Q7HUxA","['Elecciones2022', 'EleccionesColombia']",2022-05-31 00:01:31+00:00
2327,ccgv777,papá+medico,"Puerto Colombia, Colombia",4993,1799,26766,759,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 00:01:28+00:00
2328,elpais_america,"Contamos un continente al mundo y el mundo a un continente. Cuenta oficial de #ELPAÍSAmérica
Suscríbete: https://t.co/Pyc6MfIaEa
Telegram: https://t.co/QJggUChNw9",,1485,443242,276576,1,"#EleccionesColombia | Gustavo Petro y Rodolfo Hernández han sido los candidatos más votados y disputarán la segunda vuelta

Por @kikollan | @borjandrinot | @sepirdata https://t.co/LLViab8dal",['EleccionesColombia'],2022-05-31 00:01:22+00:00
2329,EspinosaSilis,Socio fundador @SE_consultora y director @eleccionesymas | Coordino Comisión Electoral @BMA_Abogados | Miembro @reformasLATAM | Profesor @UPMexico,México,1232,10264,35498,4,"#Envivo 🔴 | En punto de las 8 pm @darias_sanchez platicará de lo más relevante de las #EleccionesColombia en el programa #PuntoyContrapunto de @nmas con @mariaanahc.

👉 https://t.co/c7In181BAM","['Envivo', 'EleccionesColombia']",2022-05-31 00:01:22+00:00
2330,caredigue,"...Im the máster of my fate, Im the captain of my soul - Rolo, Padre de Dany, Baloncestista...","Melbourne, Victoria",501,500,18615,0,"Aprendan padres, así se le cuida el puesto a su hijo, especialmente si no cumple con lo que requiere para el mismo. #EleccionesColombia https://t.co/k8mWhILm9q",['EleccionesColombia'],2022-05-31 00:01:19+00:00
2331,JADSanSebastian,,,55,149,842,138,"Estamos en el Centro Nacional de Conteo, junto a los compañeros @francolustay y @Gmiguelena. #EleccionesColombia https://t.co/lIKC98IMPc",['EleccionesColombia'],2022-05-31 00:01:11+00:00
2332,roxycherry5,"Auxi veterinaria, una vez más Cuenta denunciada 😂😂👊👀",,74,3,351,212,"Aquí con todos los formularios E-14 de la institución educativa en Pereira en la cual serví como testigo electoral cuidando los votos de Gustavo Petro y del Pacto Histórico. Viva la Democracia! #ColombiaConPetro #EleccionesColombia
#PetroPresidenteEnPrimera https://t.co/naCfdp9RXV",[],2022-05-31 00:01:11+00:00
2333,rafaelpdc10,Adoro El Campo y La Ganadería,,1278,286,16128,2442,"TUITAZO DE PETR0! QUE DESPUÈS BORRÒ!!!

QUE TODA #COLOMBIA Y EL MUNDO ENTERO VEA ESTE MENSAJE.
            👇

#EleccionesColombia https://t.co/jTsQMhcA8U",['COLOMBIA'],2022-05-31 00:00:58+00:00
2334,Michino73864920,,,77,276,101636,73,"🧵#EleccionesColombia El senador @velascoluisf, vocero de la campaña de @petrogustavo, pidió hoy en vivo en la transmisión de la @lasillavacia que gente como yo le dieramos el voto a Petro en 2da vuelta. Lo pensé mientras miraba el horizonte desde el ✈️del q me acabo de bajar 1/N",['EleccionesColombia'],2022-05-31 00:00:52+00:00
2335,JonathanAguzmn1,,,643,324,19336,759,#PetroPresidente2022 #EleccionesColombia Para quién pueda hacer algo con esta información. Una persona chilena me dijo que en sus elecciones Boric perdió durante la primera vuelta y hubo un abstencionismo de más del 50%. Y me dijo que esto hicieron... Sigo 🧵,"['PetroPresidente2022', 'EleccionesColombia']",2022-05-31 00:00:49+00:00
2336,dianagromero,Soy simplemente yo!,,324,46,1411,954,"Se los pongo en criollo, para que se entienda: pueden poner un pastor alemán en segunda vuelta contra @petrogustavo y el 99% de los que fuimos con @FicoGutierrez nos vamos con el pastor alemán. Esto es todos contra Petro, punto #CualquieraMenosPetro #EleccionesColombia",[],2022-05-31 00:00:49+00:00
2337,rubendahe87,"Defensor de la democracia, siempre por la Derecha. Independiente Santa Fe","Bogotá, D.C., Colombia",1461,1219,10187,77,"#PetroORodolfo | ""No tengo ningún interés diferente, de generarles felicidad, que lleguen a fin de mes bien, que les alcance la plata"": @ingrodolfohdez en #SemanaNoticias #EleccionesColombia #ColombiaVota2022 

Vea más: https://t.co/mbnSuQHWKz https://t.co/qP2YklLAih",['PetroORodolfo'],2022-05-31 00:00:40+00:00
2338,gerfraperez,,,119,70,9288,482,“No duda: ingeniero mejor que guerrillero”: la fuerte frase de Juan Carlos Echeverry | #EleccionesColombia #ColombiaVota2022  https://t.co/oEOiHbBXn8,['EleccionesColombia'],2022-05-31 00:00:36+00:00
2339,ENTERATE20201,El mundo nadando en la mierda!!,,308,184,7593,62,#EleccionesColombia | “Un país del que nadie se quiera ir”: Rodolfo Hernández tras seguir a segunda vuelta | #ColombiaVota2022 | #PetroORodolfo https://t.co/bTeFyIgpSk,['EleccionesColombia'],2022-05-31 00:00:34+00:00
2340,CesarM01j,"Noticias, tendencias y tecnología.",,3670,584,75101,5,"Un aparente cambio de rumbo es lo que pide #Colombia para su nuevo presidente. Esto es lo que parecen decir los resultados de la primera vuelta ocurrida este 29 de mayo ⬇️ #EleccionesColombia
https://t.co/an1TvsPyqp",['Colombia'],2022-05-31 00:00:32+00:00
2341,lufranlou,"Faltan 18 niños y niñas en una escuela de Colombia, el gobierno ordenó Bombardearlos.",,1157,1741,265152,660,"Señor @petrogustavo y señora @FranciaMarquezM. Ponemos a su disposición, todos nuestros conocimientos en materia de comunicación. Creemos en usted, en su campaña está el cambio. No más continuismo. #PetroPresidente2022 #EleccionesColombia",[],2022-05-31 00:00:29+00:00
2342,AMPAROPOSADA10,,,71,49,9662,170,"Colombia elige entre una falsa lucha anticorrupción, el machismo y el continuismo uribista o el cambio por un país más democrático, ¿usted decide?#EleccionesColombia",[],2022-05-31 00:00:24+00:00
2343,erley_morales,,,3840,2018,8059,3143,"Ayer, en las #EleccionesColombia, casi 6 millones votaron en contra de lo que nos divide, y a favor de lo que nos une: el deseo de que Colombia sea un país sin odios, sin ladrones, sin pobreza. Un país del que nadie se quiera ir. #ColombiaEsRodolfo #RodolfoPresidente",['EleccionesColombia'],2022-05-31 00:00:18+00:00
